gene,Gene Name,ess_del,Galactose,low_fitness_gal
YHR214C-D,NA,NA,NA,NA
YHR218W,NA,NA,NA,NA
YHR219W,NA,NA,NA,NA
YIL083C,CAB2,yes,0.811,low fitness galactose
YIL172C,NA,NA,NA,NA
YIL176C,NA,NA,NA,NA
YIL177C,NA,NA,NA,NA
YIR022W,NA,yes,NA,NA
YJL121C,RPE1,NA,0.754,low fitness galactose
YJL136C,RPS21B,NA,0.793,low fitness galactose
YJL173C,RFA3,yes,NA,NA
YJL221C,NA,NA,NA,NA
YJL223C,NA,NA,NA,NA
YJL225C,NA,NA,NA,NA
YJR005C-A,NA,NA,NA,NA
YJR022W,NA,yes,NA,NA
YJR026W,NA,NA,NA,NA
YJR027W,NA,NA,NA,NA
YJR028W,NA,NA,NA,NA
YJR029W,NA,NA,NA,NA
YJR136C,NA,NA,NA,NA
YJR145C,NA,NA,NA,NA
YJR158W,NA,NA,NA,NA
YJR159W,NA,NA,NA,NA
YKL013C,ARC19,yes,0.518,low fitness galactose
YKL023C-A,NA,NA,NA,NA
YKL056C,TMA19,NA,0.964,low fitness galactose
YKL058W,NA,yes,NA,NA
YKL060C,NA,yes,NA,NA
YKL137W,CMC1,NA,0.713,low fitness galactose
YKL170W,NA,NA,NA,NA
YKL216W,URA1,NA,0.992,low fitness galactose
YKR007W,MEH1,NA,0.712,low fitness galactose
YKR020W,VPS51,NA,0.488,low fitness galactose
YKR057W,RPS21A,NA,0.773,low fitness galactose
YKR059W,TIF1,NA,0.937,low fitness galactose
YKR062W,NA,yes,NA,NA
YKR081C,RPF2,yes,0.696,low fitness galactose
YLL064C,NA,NA,NA,NA
YLL066C,NA,NA,NA,NA
YLL067C,NA,NA,NA,NA
YLR008C,PAM18,yes,0.546,low fitness galactose
YLR035C-A,NA,NA,NA,NA
YLR075W,NA,yes,NA,NA
YLR147C,NA,yes,NA,NA
YLR150W,STM1,NA,0.926,low fitness galactose
YLR154C-G,NA,NA,NA,NA
YLR154C-H,NA,NA,NA,NA
YLR154W-C,NA,NA,NA,NA
YLR155C,NA,NA,NA,NA
YLR156C-A,NA,NA,NA,NA
YLR156W,NA,NA,NA,NA
YLR157C,NA,NA,NA,NA
YLR157C-A,NA,NA,NA,NA
YLR157C-B,NA,NA,NA,NA
YLR157C-C,NA,NA,NA,NA
YLR157W-D,NA,NA,NA,NA
YLR157W-E,NA,NA,NA,NA
YLR158C,NA,NA,NA,NA
YLR159C-A,NA,NA,NA,NA
YLR159W,NA,NA,NA,NA
YLR160C,NA,NA,NA,NA
YLR161W,NA,NA,NA,NA
