	1657_1	1657_2	1728	1734	1736	1740	1744	1747	1751
YPL228W	8.0	6.0	13.0	3.0	11.0	6.0	1.0	4.0	4.0
YPL072W	8.0	14.0	16.0	6.0	22.0	17.0	10.0	9.0	6.0
YPL207W	26.0	21.0	47.0	18.0	58.0	29.0	25.0	15.0	14.0
YOL026C	1.0	1.0	3.0	2.0	10.0	2.0	1.0	1.0	1.0
YDR032C	12.0	6.0	22.0	5.0	17.0	10.0	5.0	4.0	6.0
YNL219C	14.0	4.0	18.0	3.0	31.0	14.0	7.0	6.0	5.0
YJL141C	41.0	16.0	21.0	15.0	46.0	32.0	8.0	12.0	7.0
YDL218W	12.0	11.0	18.0	6.0	27.0	16.0	10.0	10.0	4.0
YIL014C-A	4.0	NaN	6.0	2.0	4.0	2.0	2.0	NaN	2.0
YIL014W	12.0	11.0	13.0	7.0	25.0	15.0	10.0	5.0	7.0
YIL013C	38.0	28.0	39.0	24.0	69.0	41.0	19.0	16.0	18.0
YIL011W	8.0	3.0	11.0	1.0	11.0	7.0	3.0	3.0	3.0
YIL010W	14.0	10.0	13.0	9.0	21.0	15.0	6.0	5.0	5.0
YIL009C-A	16.0	6.0	18.0	9.0	25.0	15.0	8.0	1.0	9.0
YIL009W	38.0	30.0	41.0	20.0	60.0	44.0	16.0	28.0	24.0
YIL008W	2.0	2.0	4.0	2.0	2.0	1.0	1.0	2.0	3.0
YIL007C	11.0	13.0	17.0	12.0	28.0	16.0	5.0	10.0	7.0
YIL006W	24.0	17.0	17.0	10.0	19.0	20.0	9.0	9.0	9.0
YLR097C	3.0	6.0	13.0	6.0	20.0	11.0	1.0	1.0	2.0
YCL021W-A	5.0	7.0	9.0	2.0	11.0	8.0	6.0	1.0	NaN
YPL214C	15.0	13.0	29.0	10.0	24.0	22.0	20.0	6.0	12.0
YGL075C	6.0	5.0	6.0	3.0	3.0	5.0	NaN	1.0	3.0
YGL073W	18.0	12.0	26.0	7.0	42.0	26.0	6.0	15.0	10.0
YGL071W	11.0	10.0	19.0	10.0	33.0	18.0	2.0	7.0	1.0
YGL070C	4.0	3.0	9.0	1.0	5.0	9.0	1.0	3.0	2.0
YGL068W	1.0	1.0	6.0	2.0	3.0	5.0	2.0	2.0	1.0
YGL067W	7.0	8.0	18.0	6.0	23.0	18.0	7.0	4.0	7.0
YGL066W	14.0	7.0	16.0	5.0	16.0	17.0	4.0	7.0	8.0
YGL065C	10.0	11.0	5.0	6.0	11.0	7.0	2.0	5.0	5.0
YGL064C	3.0	3.0	61.0	3.0	11.0	28.0	3.0	5.0	1.0
YHR147C	1.0	NaN	4.0	NaN	1.0	4.0	NaN	1.0	NaN
YHR148W	7.0	6.0	8.0	4.0	15.0	8.0	6.0	8.0	6.0
YLL051C	23.0	12.0	43.0	9.0	62.0	37.0	11.0	11.0	13.0
YLL052C	9.0	9.0	8.0	2.0	10.0	11.0	9.0	NaN	3.0
YLL053C	8.0	9.0	21.0	4.0	17.0	13.0	3.0	3.0	2.0
YLL054C	12.0	5.0	23.0	6.0	23.0	14.0	5.0	5.0	5.0
YJL036W	7.0	10.0	18.0	12.0	21.0	13.0	2.0	11.0	10.0
YJL037W	12.0	12.0	20.0	7.0	15.0	22.0	7.0	6.0	4.0
YJL034W	7.0	7.0	12.0	6.0	10.0	8.0	2.0	7.0	4.0
YJL035C	1.0	1.0	4.0	1.0	6.0	5.0	NaN	2.0	NaN
YJL041W	5.0	4.0	4.0	3.0	3.0	4.0	1.0	2.0	2.0
YJL042W	87.0	52.0	63.0	32.0	87.0	64.0	46.0	29.0	34.0
YJL038C	2.0	2.0	5.0	2.0	3.0	3.0	NaN	1.0	2.0
YJL039C	18.0	13.0	16.0	10.0	20.0	24.0	6.0	10.0	8.0
YDR011W	36.0	29.0	124.0	27.0	142.0	95.0	41.0	55.0	52.0
YLR263W	7.0	5.0	38.0	5.0	29.0	9.0	3.0	4.0	14.0
YJL031C	2.0	1.0	1.0	NaN	NaN	NaN	1.0	NaN	3.0
YJL033W	13.0	7.0	5.0	13.0	10.0	3.0	4.0	6.0	5.0
YLR266C	32.0	18.0	13.0	9.0	30.0	28.0	11.0	7.0	11.0
YLR265C	5.0	NaN	4.0	1.0	5.0	4.0	NaN	2.0	2.0
YPR155C	21.0	19.0	35.0	13.0	38.0	21.0	12.0	11.0	13.0
YOL028C	13.0	7.0	12.0	5.0	14.0	9.0	7.0	4.0	7.0
YPL146C	4.0	2.0	5.0	1.0	6.0	4.0	2.0	2.0	NaN
YMR169C	15.0	13.0	28.0	12.0	30.0	18.0	17.0	6.0	10.0
YJR127C	99.0	67.0	96.0	46.0	147.0	84.0	70.0	37.0	66.0
YKR041W	36.0	30.0	182.0	70.0	232.0	166.0	136.0	58.0	78.0
YMR170C	14.0	5.0	24.0	10.0	29.0	10.0	10.0	4.0	10.0
YBR238C	11.0	4.0	27.0	2.0	18.0	13.0	6.0	2.0	9.0
YJR019C	16.0	15.0	38.0	13.0	47.0	27.0	14.0	11.0	15.0
YGL098W	2.0	NaN	1.0	NaN	NaN	NaN	NaN	NaN	NaN
YGL099W	5.0	4.0	4.0	2.0	4.0	7.0	3.0	3.0	1.0
YJR021C	11.0	12.0	19.0	8.0	29.0	23.0	8.0	6.0	10.0
YGL103W	4.0	3.0	6.0	2.0	9.0	7.0	NaN	5.0	1.0
YGL104C	7.0	13.0	14.0	5.0	35.0	15.0	5.0	2.0	9.0
YGL100W	7.0	2.0	9.0	4.0	7.0	6.0	1.0	NaN	2.0
YGL101W	8.0	5.0	8.0	1.0	7.0	2.0	3.0	2.0	3.0
YGL107C	3.0	5.0	20.0	4.0	12.0	15.0	NaN	3.0	4.0
YGL108C	4.0	1.0	8.0	NaN	7.0	5.0	2.0	NaN	4.0
YGL105W	3.0	3.0	8.0	4.0	6.0	3.0	NaN	3.0	2.0
YBR237W	13.0	6.0	6.0	11.0	12.0	7.0	2.0	5.0	6.0
YPL074W	17.0	15.0	29.0	10.0	29.0	24.0	11.0	6.0	8.0
YDR057W	12.0	10.0	20.0	13.0	27.0	20.0	3.0	5.0	7.0
YOL029C	8.0	4.0	8.0	8.0	18.0	7.0	3.0	6.0	4.0
YOR386W	7.0	7.0	18.0	5.0	17.0	11.0	4.0	5.0	11.0
YOR384W	27.0	19.0	42.0	16.0	52.0	33.0	19.0	18.0	22.0
YOR385W	9.0	9.0	15.0	11.0	23.0	14.0	4.0	6.0	9.0
YOR382W	2.0	1.0	NaN	2.0	3.0	2.0	1.0	NaN	1.0
YOR383C	5.0	4.0	13.0	2.0	12.0	4.0	10.0	4.0	6.0
YOR381W	15.0	11.0	23.0	10.0	33.0	22.0	9.0	5.0	7.0
YOR381W-A	2.0	NaN	5.0	1.0	7.0	4.0	3.0	NaN	NaN
YOR378W	22.0	14.0	35.0	10.0	38.0	20.0	21.0	11.0	18.0
YOR380W	25.0	17.0	43.0	18.0	53.0	22.0	20.0	14.0	27.0
YGR250C	26.0	19.0	29.0	14.0	42.0	18.0	14.0	6.0	14.0
YGR251W	1.0	2.0	9.0	8.0	6.0	6.0	NaN	4.0	1.0
YGR252W	8.0	4.0	24.0	4.0	12.0	42.0	1.0	3.0	3.0
YGR253C	4.0	6.0	10.0	5.0	8.0	9.0	NaN	5.0	3.0
YGR246C	6.0	7.0	9.0	6.0	9.0	9.0	3.0	5.0	5.0
YGR247W	5.0	4.0	16.0	5.0	18.0	16.0	5.0	4.0	9.0
YGR248W	7.0	6.0	21.0	9.0	29.0	12.0	9.0	5.0	9.0
YGR249W	7.0	1.0	13.0	2.0	19.0	10.0	2.0	1.0	4.0
YJR104C	15.0	10.0	19.0	2.0	30.0	7.0	10.0	1.0	9.0
YJR103W	49.0	38.0	78.0	32.0	99.0	57.0	31.0	16.0	28.0
YJR106W	17.0	15.0	28.0	8.0	35.0	18.0	7.0	6.0	10.0
YJR024C	10.0	8.0	14.0	6.0	21.0	10.0	6.0	6.0	4.0
YGR254W	26.0	17.0	48.0	6.0	38.0	17.0	26.0	10.0	9.0
YGR255C	15.0	9.0	35.0	5.0	23.0	26.0	4.0	12.0	5.0
YJR110W	28.0	32.0	53.0	19.0	57.0	48.0	22.0	19.0	23.0
YJR109C	37.0	34.0	61.0	25.0	78.0	47.0	27.0	21.0	28.0
YOR287C	4.0	NaN	3.0	2.0	3.0	2.0	NaN	NaN	2.0
YDR366C	8.0	5.0	15.0	1.0	14.0	13.0	7.0	3.0	8.0
YOR289W	10.0	6.0	31.0	6.0	36.0	24.0	16.0	4.0	8.0
YOR236W	5.0	9.0	5.0	4.0	17.0	11.0	1.0	4.0	3.0
YOR063W	2.0	3.0	7.0	2.0	6.0	6.0	NaN	1.0	1.0
YOR284W	10.0	5.0	11.0	4.0	13.0	4.0	4.0	3.0	7.0
YOR285W	8.0	10.0	25.0	3.0	23.0	10.0	6.0	6.0	5.0
YDR367W	2.0	3.0	2.0	1.0	4.0	3.0	1.0	2.0	3.0
YOR212W	24.0	16.0	34.0	10.0	35.0	36.0	19.0	19.0	17.0
YMR271C	10.0	4.0	11.0	3.0	16.0	4.0	6.0	1.0	7.0
YOR291W	27.0	36.0	59.0	13.0	76.0	36.0	26.0	11.0	16.0
YOR037W	7.0	5.0	31.0	6.0	48.0	28.0	4.0	3.0	11.0
YPL066W	12.0	15.0	31.0	12.0	44.0	39.0	15.0	20.0	17.0
YPL065W	2.0	4.0	4.0	3.0	6.0	4.0	NaN	3.0	1.0
YDL055C	2.0	NaN	4.0	3.0	5.0	2.0	2.0	4.0	NaN
YCL044C	8.0	19.0	3.0	6.0	36.0	10.0	13.0	9.0	11.0
YOR177C	17.0	5.0	23.0	3.0	33.0	13.0	14.0	10.0	8.0
YMR190C	18.0	20.0	46.0	7.0	43.0	31.0	15.0	8.0	10.0
YOR180C	1.0	3.0	8.0	1.0	6.0	4.0	2.0	NaN	3.0
YPR156C	14.0	14.0	28.0	12.0	37.0	22.0	12.0	10.0	15.0
YOR179C	19.0	10.0	33.0	3.0	28.0	34.0	6.0	15.0	11.0
YGR111W	10.0	8.0	20.0	4.0	25.0	19.0	4.0	4.0	9.0
YGR112W	3.0	2.0	19.0	NaN	17.0	11.0	NaN	7.0	3.0
YOL054W	5.0	6.0	27.0	9.0	27.0	10.0	2.0	6.0	5.0
YGR104C	4.0	2.0	10.0	4.0	9.0	7.0	1.0	2.0	6.0
YGR106C	11.0	2.0	14.0	3.0	15.0	3.0	4.0	1.0	1.0
YGR108W	13.0	3.0	14.0	3.0	22.0	11.0	6.0	6.0	6.0
YGR109C	9.0	5.0	23.0	5.0	24.0	17.0	10.0	3.0	8.0
YGR109W-B	29.0	29.0	47.0	15.0	61.0	30.0	27.0	19.0	28.0
YGR109W-A	3.0	3.0	6.0	1.0	8.0	4.0	2.0	3.0	3.0
YGR110W	5.0	1.0	9.0	3.0	10.0	4.0	2.0	4.0	5.0
YDR319C	7.0	8.0	13.0	3.0	22.0	5.0	3.0	NaN	5.0
YDR318W	8.0	3.0	13.0	6.0	25.0	12.0	7.0	3.0	3.0
YDR317W	8.0	4.0	20.0	4.0	21.0	10.0	6.0	5.0	7.0
YIL026C	17.0	21.0	19.0	16.0	32.0	22.0	10.0	9.0	10.0
YOR209C	4.0	6.0	11.0	4.0	12.0	13.0	1.0	1.0	NaN
YDR316W	11.0	13.0	23.0	8.0	28.0	18.0	2.0	8.0	9.0
YDR315C	4.0	2.0	14.0	2.0	14.0	8.0	3.0	1.0	2.0
YDR314C	9.0	7.0	20.0	6.0	40.0	15.0	12.0	2.0	9.0
YIL035C	22.0	25.0	32.0	27.0	37.0	19.0	16.0	15.0	15.0
YIL034C	37.0	32.0	25.0	14.0	34.0	20.0	7.0	13.0	3.0
YIL037C	19.0	14.0	26.0	4.0	23.0	18.0	18.0	6.0	15.0
YIL036W	16.0	27.0	43.0	17.0	51.0	30.0	14.0	22.0	15.0
YIL030C	33.0	33.0	34.0	21.0	46.0	25.0	20.0	25.0	29.0
YIL029C	3.0	2.0	1.0	NaN	3.0	2.0	3.0	1.0	3.0
YIL033C	12.0	9.0	13.0	5.0	13.0	10.0	5.0	5.0	9.0
YDR320C	7.0	7.0	9.0	8.0	9.0	6.0	5.0	5.0	2.0
YNL125C	14.0	13.0	43.0	5.0	50.0	30.0	11.0	9.0	13.0
YML045W-A	1.0	2.0	NaN	NaN	1.0	NaN	NaN	NaN	NaN
YML041C	13.0	6.0	15.0	6.0	22.0	13.0	1.0	3.0	19.0
YML042W	36.0	19.0	35.0	23.0	58.0	34.0	22.0	14.0	39.0
YNL121C	8.0	12.0	10.0	4.0	21.0	8.0	3.0	4.0	7.0
YNL122C	2.0	4.0	8.0	1.0	13.0	4.0	NaN	1.0	NaN
YML037C	2.0	NaN	9.0	1.0	7.0	7.0	1.0	NaN	3.0
YML038C	8.0	1.0	7.0	2.0	9.0	5.0	6.0	2.0	1.0
YML035C	21.0	11.0	57.0	10.0	71.0	39.0	15.0	20.0	4.0
