	1657_1	1657_2	1728	1734	1736	1740	1744	1747	1751
YNL333W	103.0051760100945	63.84982521110349	28.884620383876605	21.767522855899	38.091852152824515	49.1192911103907	40.81132922499286	50.72665939584549	NaN
YBR257W	77.25388200757088	111.73719411943111	28.884620383876605	108.83761427949499	50.78913620376602	68.76700755454698	NaN	50.72665939584549	19.18906990578167
YPL141C	386.2694100378544	319.2491260555175	324.9519793186118	282.977797126687	425.3590157065404	275.0680302181879	204.0566461249643	278.9966266771502	422.15953792719665
YBR258C	90.12952900883269	63.84982521110349	21.663465287907453	43.535045711798	44.44049417829527	49.1192911103907	20.40566461249643	25.363329697922744	38.37813981156334
YPR030W	437.77199804290166	287.3242134499657	375.50006499039586	391.81541140618197	431.70765773201117	412.60204532728187	469.33028608741785	532.6299236563776	402.970468021415
YPL068C	128.75647001261814	31.924912605551746	180.52887739922878	65.302568567697	171.41333468771032	216.12488088571908	81.62265844998572	152.17997818753648	19.18906990578167
YMR323W	77.25388200757088	79.81228151387937	57.76924076775321	130.605137135394	69.83506228017828	39.29543288831256	122.43398767497857	76.08998909376824	57.567209717345
YOL030W	270.3885870264981	239.4368445416381	173.30772230325962	217.67522855898997	196.80790278959333	108.06244044285954	265.27363996245356	304.35995637507295	191.89069905781668
YBR255C-A	51.50258800504725	15.962456302775873	36.10577547984576	108.83761427949499	95.22963038206129	58.943149332468835	122.43398767497857	NaN	76.75627962312667
YDL054C	347.642469034069	303.2866697527416	375.50006499039586	348.280365694384	323.78074329900835	392.9543288831256	163.24531689997144	405.8132751667639	345.40325830407
YKL224C	12.875647001261813	31.924912605551746	50.54808567178406	21.767522855899	31.743210127353763	29.471574666234417	122.43398767497857	NaN	38.37813981156334
YJR161C	38.62694100378544	NaN	28.884620383876605	65.302568567697	NaN	9.82385822207814	20.40566461249643	NaN	NaN
YIL123W	180.25905801766538	255.39930084441397	216.63465287907454	326.51284283848497	266.6429650697716	294.7157466623442	285.67930457495	126.81664848961373	307.0251184925067
YJR156C	51.50258800504725	95.77473781665523	57.76924076775321	65.302568567697	57.13777822923677	58.943149332468835	81.62265844998572	76.08998909376824	76.75627962312667
YJR160C	12.875647001261813	15.962456302775873	21.663465287907453	NaN	31.743210127353763	9.82385822207814	20.40566461249643	25.363329697922744	NaN
YJR153W	64.37823500630907	175.5870193305346	36.10577547984576	152.37265999129298	107.92691443300279	39.29543288831256	61.216993837489284	76.08998909376824	115.13441943469
YJR152W	141.63211701387996	95.77473781665523	158.86541211132135	239.442751414889	184.11061873865182	127.71015688701581	224.4623107374607	126.81664848961373	153.51255924625335
YJR155W	193.1347050189272	127.69965042220699	158.86541211132135	130.605137135394	165.06469266223957	176.8294479974065	204.0566461249643	126.81664848961373	95.94534952890834
YJR154W	167.38341101640358	111.73719411943111	93.87501624759896	130.605137135394	120.6241984839443	58.943149332468835	163.24531689997144	76.08998909376824	115.13441943469
