Gene	Tn_abun_1657	Tn_abun_1728	Tn_abun_1734	Tn_abun_1736	Tn_abun_1740	Tn_abun_1744	Tn_abun_1747	Tn_abun_1751	DGY1657	DGY1728	DGY1734	DGY1747	DGY1751	DGY1736	DGY1744	DGY1740	standardized_residuals_DGY1728	standardized_residuals_DGY1734	standardized_residuals_DGY1736	standardized_residuals_DGY1740	standardized_residuals_DGY1744	standardized_residuals_DGY1747	standardized_residuals_DGY1751
YAL001C	351.174038661069	72.2115509596915	457.117979973879	139.670124560357	196.477164441563	122.433987674979	228.269967281305	211.079768963598	1	1	1	1	1	1	1	1	-1.6047374017599	1.29333967317654	-1.3458534756173	-0.754698109866469	-1.34668542550883	-0.698389717243993	-0.988668699880782
YAL002W	1021.59720337766	462.153926142026	1023.07357422725	393.615805579187	687.67007554547	714.198261437375	887.716539427296	786.751866137048	1	1	1	1	1	1	1	1	-2.201402231492	1.18499226254176	-3.24964478557153	-0.869097835305717	-1.67034902600516	-0.105114800282224	-1.04264228796772
YAL005C	279.342985298578	592.13471786947	326.512842838485	387.267163553716	442.073619993516	306.084969187446	380.449945468841	211.079768963598	1	1	1	1	1	1	1	1	2.61207729312812	0.683629769020429	1.29406482276604	1.50370478160128	0.340160144224816	1.09080180621425	-0.380107688740651
YAL007C	79.8122815138794	36.1057754798458	130.605137135394	95.2296303820613	49.1192911103907	81.6226584499857	126.816648489614	115.13441943469	1	1	1	1	1	1	1	1	-0.464544925494285	0.47246138009669	-0.0599819154933453	-0.321345349634354	0.112392277055602	0.437219391125231	0.372404803209397
YAL008W	167.605791179147	57.7692407677532	195.907705703091	95.2296303820613	127.710156887016	81.6226584499857	50.7266593958455	211.079768963598	1	1	1	1	1	1	1	1	-0.759595877305329	0.379747913688102	-0.603464671815419	-0.228663802259083	-0.44797063799768	-0.835756857860196	0.566504683218027
YAL011W	223.474388238862	50.5480856717841	152.372659991293	57.1377782292368	58.9431493324688	81.6226584499857	76.0899890937682	115.13441943469	1	1	1	1	1	1	1	1	-1.10268345576089	-0.435055000568583	-1.28703146971899	-1.06435369517063	-0.804551358408681	-1.03232342031901	-0.84468152106479
YAL012W	247.418072693026	64.9903958637224	261.210274270788	107.926914433003	117.886298664938	163.245316899971	202.906637583382	76.7562796231267	1	1	1	1	1	1	1	1	-1.12005645834258	0.348212794259363	-0.98495378385549	-0.756557079768695	-0.411447826613124	-0.152540124656526	-1.42267539373137
YAL013W	47.8873689083276	21.6634652879075	87.070091423596	69.8350622801783	68.767007554547	40.8113292249929	76.0899890937682	38.3781398115633	1	1	1	1	1	1	1	1	-0.405792949994398	0.330395328698099	-0.0875068690291801	0.0082260271991594	0.0431896373721027	0.248284517425543	-0.107472845878671
YAL014C	255.399300844414	79.4327060556607	195.907705703091	120.624198483944	167.005589775328	142.839652287475	101.453318791691	115.13441943469	1	1	1	1	1	1	1	1	-1.05465786324233	-0.292988637985457	-0.92178676491076	-0.43197526105659	-0.598870460958896	-1.05427534558933	-1.11513981344964
YAL015C	391.080179418009	166.08656720729	348.280365694384	298.386175197125	196.477164441563	285.67930457495	380.449945468841	364.592328209852	1	1	1	1	1	1	1	1	-1.1175782922798	0.0207725875786773	-0.185674077952889	-0.981682908845609	-0.509525190277771	0.275896672971985	0.173903322727458
YAL016W	143.662106724983	36.1057754798458	108.837614279495	25.394568101883	49.1192911103907	40.8113292249929	177.543307885459	115.13441943469	1	1	1	1	1	1	1	1	-0.795623753461511	-0.210181584931176	-1.07442094481188	-0.684461812773714	-0.568118316395362	0.393296254677955	-0.168539726428359
YAL017W	814.085271441569	404.384685374272	805.398345668263	495.194077986719	530.488343992219	755.009590662368	532.629923656378	537.293957361887	1	1	1	1	1	1	1	1	-1.55034693231746	0.840451427168848	-1.06023818018788	-0.872235761775815	-0.0703483926583572	-1.54518875778365	-1.7229656858243
YAL018C	87.7935096652673	57.7692407677532	87.070091423596	76.183704305649	78.5908657766251	40.8113292249929	50.7266593958455	76.7562796231267	1	1	1	1	1	1	1	1	-0.345743113293484	0.0245786450265882	-0.278263520166948	-0.144739742121715	-0.211531314087676	-0.253677224782211	-0.0703888708671368
YAL019W	311.26789790413	202.192342687136	239.442751414889	133.321482534886	255.420313774032	224.462310737461	126.816648489614	134.323489340472	1	1	1	1	1	1	1	1	-0.436691077099313	-0.334398808274124	-1.15507702857715	-0.0837574337323873	-0.40953594377644	-1.25086829167473	-1.40088411913704
YAL020C	263.380528995802	194.971187591167	174.140182847192	165.06469266224	255.420313774032	306.084969187446	228.269967281305	172.701629152035	1	1	1	1	1	1	1	1	-0.2417604325695	-0.54749458277562	-0.577182985833937	0.188585011918201	0.442041150177103	-0.0580753535827652	-0.620028607257787
YAL021C	263.380528995802	72.2115509596915	348.280365694384	196.807902789593	147.357873331172	163.245316899971	253.633296979227	172.701629152035	1	1	1	1	1	1	1	1	-1.14943790491575	0.999291153073197	-0.295746007036588	-0.625354943276656	-0.513330275795604	0.152806508056375	-0.620028607257787
YAL022C	207.511931936086	108.317326439537	174.140182847192	171.41333468771	196.477164441563	387.707627637432	202.906637583382	287.836048586725	1	1	1	1	1	1	1	1	-0.592769956831195	-0.119392315885899	-0.175045181218953	0.062349527215929	1.34455582055793	0.138502046045664	0.97872833517589
YAL023C	510.798601688828	491.038546525902	348.280365694384	330.129385324479	432.249761771438	346.896298412439	557.9932533543	556.483027267668	1	1	1	1	1	1	1	1	0.664491567195394	-0.896759843681247	-0.645456390509813	0.113410616640299	-0.864327927068382	0.879092698708923	1.03562486186912
YAL024C	327.230354206905	64.9903958637224	435.35045711798	133.321482534886	176.829447997407	20.4056646124964	228.269967281305	191.890699057817	1	1	1	1	1	1	1	1	-1.53394998119028	1.28344779010779	-1.25390090306719	-0.766507382320251	-1.87626389366214	-0.523752558921974	-0.973387947482873
YAL026C	255.399300844414	108.317326439537	261.210274270788	101.578272407532	117.886298664938	122.433987674979	101.453318791691	115.13441943469	1	1	1	1	1	1	1	1	-0.841086869936575	0.287055533166663	-1.0906488125127	-0.801947661935793	-0.735351980348222	-1.05427534558933	-1.11513981344964
YAL027W	215.493160087474	93.875016247599	304.745319982586	152.367408611298	137.534015109094	224.462310737461	76.0899890937682	191.890699057817	1	1	1	1	1	1	1	1	-0.740941235864675	0.979539591245247	-0.393314388412964	-0.427008014089083	0.20176032321195	-0.974115818230636	-0.0267652831046798
YAL028W	247.418072693026	129.980791727445	282.977797126687	203.156544815064	176.829447997407	204.056646124964	152.179978187536	307.025118492507	1	1	1	1	1	1	1	1	-0.639521963221122	0.541560754817454	-0.140643967208718	-0.312590420280532	-0.138484924059877	-0.57430328858171	0.82822862818414
YAL029C	590.610883202707	303.288514030704	544.188071397475	425.35901570654	265.24417199611	693.792596824879	278.99662667715	518.104887456105	1	1	1	1	1	1	1	1	-1.13807014619859	0.23204163358091	-0.295189554535535	-1.5989263682512	0.946912800085811	-2.02349819268401	-0.0158726702423359
YAL031C	510.798601688828	129.980791727445	565.955594253374	247.597038993359	196.477164441563	265.273639962454	228.269967281305	441.348607832978	1	1	1	1	1	1	1	1	-2.00565110613079	1.03708665839194	-1.37733041877752	-1.66279300921662	-1.4103573268869	-1.86288808551425	-0.0900407145143374
YAL032C	263.380528995802	144.423101919383	261.210274270788	203.156544815064	147.357873331172	183.650981512468	76.0899890937682	287.836048586725	1	1	1	1	1	1	1	1	-0.61550998000619	0.225898285148788	-0.239458611277118	-0.625354943276656	-0.376848643513789	-1.32336652341761	0.505424896303212
YAL034C	383.098951266621	194.971187591167	217.67522855899	215.853828866006	225.948739107797	387.707627637432	126.816648489614	326.214188398288	1	1	1	1	1	1	1	1	-0.86260075090772	-1.0782162616797	-0.86803719904674	-0.714289230890658	0.223864994903779	-1.77482136389703	-0.133650204157065
YAL034W-A	167.605791179147	50.5480856717841	174.140182847192	82.5323463311198	88.4147239987033	81.6226584499857	50.7266593958455	191.890699057817	1	1	1	1	1	1	1	1	-0.812989296034139	0.186397428948244	-0.716040783710999	-0.524645439277975	-0.44797063799768	-0.835756857860196	0.378926899238981
YAL035W	143.662106724983	43.3269305758149	174.140182847192	25.394568101883	39.2954328883126	81.6226584499857	76.0899890937682	95.9453495289083	1	1	1	1	1	1	1	1	-0.742229783988426	0.369875852423114	-1.07442094481188	-0.758457985278832	-0.295149034673434	-0.450249786461955	-0.356119445241192
YAL036C	231.45561639025	209.413497783105	217.67522855899	158.716050636769	147.357873331172	204.056646124964	253.633296979227	287.836048586725	1	1	1	1	1	1	1	1	0.0305706186794516	0.0838316806865513	-0.435840882459456	-0.443793379998187	-0.0366031551622343	0.385639767805484	0.775882349326545
YAL037C-A	23.9436844541638	50.5480856717841	43.535045711798	63.4864202547075	58.9431493324688	102.028323062482	50.7266593958455	38.3781398115633	1	1	1	1	1	1	1	1	-0.0680330003059286	0.127155672791019	0.0044360682387118	0.0704097510137937	0.605524780950543	0.21202994056651	0.0953922490898197
YAL037W	199.530703784698	108.317326439537	87.070091423596	139.670124560357	108.06244044286	265.273639962454	152.179978187536	307.025118492507	1	1	1	1	1	1	1	1	-0.551384344783241	-0.831629703905306	-0.407075784686804	-0.558212605989358	0.576606981251373	-0.225053963727969	1.23392063629217
YAL038W	151.643334876371	93.875016247599	195.907705703091	88.8809883565905	98.2385822207814	61.2169938374893	202.906637583382	115.13441943469	1	1	1	1	1	1	1	1	-0.409857743109978	0.502067606946424	-0.560940784481055	-0.359870837547738	-0.482573932655148	0.545970981346762	-0.236154950645364
YAL039C	486.854917234664	534.365477101717	370.047888550283	444.404941782953	805.556374210407	204.056646124964	710.173231541837	172.701629152035	1	1	1	1	1	1	1	1	1.10905569983448	-0.519851518054406	0.516140736924491	3.06183136350422	-1.66697434456998	2.31920626318659	-2.51363114225497
YAL040C	207.511931936086	122.759636631476	261.210274270788	107.926914433003	196.477164441563	183.650981512468	177.543307885459	307.025118492507	1	1	1	1	1	1	1	1	-0.485984254388371	0.654001402747266	-0.737919757957976	0.062349527215929	-0.0202620035168884	-0.0723800475571439	1.16630412543019
YAL041W	247.418072693026	43.3269305758149	282.977797126687	82.5323463311198	98.2385822207814	61.2169938374893	278.99662667715	134.323489340472	1	1	1	1	1	1	1	1	-1.28023462338307	0.541560754817454	-1.21010306829463	-0.90454596626475	-1.09385508299624	0.480104621231251	-0.859949388252491
YAL042W	486.854917234664	274.403893646828	740.095777100566	399.964447604657	343.835037772735	448.924621474921	507.266593958455	460.53767773876	1	1	1	1	1	1	1	1	-0.813385464363087	2.76758226494679	0.122067340759904	-0.416456021743138	-0.0289385984538593	0.631887504380239	0.300442686158783
YAL043C	391.080179418009	151.644257015352	478.885502829778	165.06469266224	127.710156887016	81.6226584499857	329.723286072996	191.890699057817	1	1	1	1	1	1	1	1	-1.2243700560166	1.18092901376351	-1.36777778302502	-1.49967466846788	-1.87442048316979	-0.145891454112014	-1.51437461295186
YAL044C	175.587019330535	151.644257015352	152.372659991293	146.018766585827	157.18173155325	40.8113292249929	152.179978187536	172.701629152035	1	1	1	1	1	1	1	1	-0.106867998747838	-0.0681110690749943	-0.202567468952521	-0.0520682041611407	-0.771876505987226	-0.0504285042274256	0.123733354803089
YAL044W-A	71.8310533624914	86.6538611516298	21.767522855899	82.5323463311198	88.4147239987033	204.056646124964	25.3633296979227	57.567209717345	1	1	1	1	1	1	1	1	-0.0493827682095767	-0.433183079402465	-0.123154347987114	0.0200450371864106	0.982285284684662	-0.348152204111233	-0.122739832838242
YAL047C	143.662106724983	64.9903958637224	195.907705703091	63.4864202547075	68.767007554547	81.6226584499857	50.7266593958455	95.9453495289083	1	1	1	1	1	1	1	1	-0.582047875569171	0.56322833154121	-0.736689125513269	-0.536469467763477	-0.295149034673434	-0.661136296746933	-0.356119445241192
YAL048C	263.380528995802	296.067358934735	413.582934262081	215.853828866006	383.130470661047	163.245316899971	684.809901843914	172.701629152035	1	1	1	1	1	1	1	1	0.50573866230388	1.5793358040165	-0.126883819758178	1.15051404987576	-0.513330275795604	3.73779815592176	-0.620028607257787
YAL049C	79.8122815138794	108.317326439537	87.070091423596	95.2296303820613	108.06244044286	142.839652287475	152.179978187536	134.323489340472	1	1	1	1	1	1	1	1	0.0694171659078799	0.0857402011076082	-0.0599819154933453	0.122650308487736	0.521863374621012	0.648114747270336	0.559992390254072
