DGY1657.1	DGY1657.2	DGY1657.3	DGY1728.1	DGY1728.2	DGY1728.3	DGY1734.1	DGY1734.2	DGY1734.3	DGY1736.1	DGY1736.2	DGY1736.3	DGY1740.1	DGY1740.2	DGY1740.3	DGY1744.1	DGY1744.2	DGY1744.3	DGY1747.1	DGY1747.3	DGY1751.1	DGY1751.2
YAL001C	13.0466755954189	6.51606377109564	8.85889565310585	10.37883895438	4.63961040417315	9.57659840577091	13.3704304174512	9.80845468834477	8.28641302332287	9.18278229520745	18.1241669724383	12.455706693471	16.2869625007308	17.0572279525191	14.5050801132464	15.3928425377246	9.68009606822879	15.4284842077029	8.77231480863709	17.5177564773181	8.9024901917524	8.37747119005695
YAL002W	9.31956993051305	6.32546702687997	6.24865873942241	4.06566890653169	3.46715356321269	5.79811916549833	7.32720560100512	5.42255648628635	7.55169232771117	4.2888994955263	10.7737026773061	5.81754771448	12.4477683454783	13.009887431114	7.46201666115719	7.04839502592466	4.2832177401587	6.23222459060914	2.41801202015509	6.2566879708954	5.5917750766289	7.6196083164549
YAL003W	1917.52820591563	1214.57890841591	1412.37756416527	2142.81759389846	2332.35894428048	1800.1611661809	2254.23181020284	2680.431450009	1124.53363695345	2218.22631488319	1760.88209665378	1893.07018271488	1920.88329974122	2116.4337894665	1990.78630392127	1199.68396553717	2004.18715940219	1907.27205681025	1568.03302279662	1724.33779216585	1235.20441852281	1074.21266838775
YAL005C	1017.23679972494	1309.88619067667	701.230782037196	750.366156902951	756.249280311943	564.669305843227	787.54122479699	309.593457350384	851.283015176882	758.31144851889	868.765915736114	758.37088540062	497.422728385681	565.799497414797	359.785619567377	1151.0807360456	675.049030570544	618.663993854427	403.017672177352	446.628270395177	1066.71187189765	1236.88524349296
YAL007C	178.575306307427	158.509639529716	162.490928743802	83.0725617921139	83.5688344373891	137.877893250987	200.526744194174	108.165458646469	170.503053336604	166.66643583599	181.699350708536	190.529900505595	172.465463235721	189.829037891567	144.890217516073	99.8522628672659	159.188519406618	143.700925076437	81.6732069307786	137.784167521455	137.106023513497	172.613874586356
YAL008W	57.8735566036692	101.701059171629	86.5629758822608	34.0639248353592	51.8330746259183	71.1133280276662	48.0126109362344	52.7127740219484	96.7679167621281	33.2039486698252	71.218840981235	57.7133927907564	64.2457055519347	64.6233892356307	72.9722470368387	52.3848052429275	54.8854534542949	49.9126027200167	21.5170667622679	66.2974329347392	85.4328990737369	138.540684960668
YAL009W	18.9837985123025	45.0655098232178	33.126985001096	12.2691783569891	24.0867158598189	47.1176826690771	35.931489004929	38.5116578037976	37.0323373762759	21.0321032953694	42.769231782163	44.1729429436943	34.759994137814	43.0102155782292	25.0370295867774	31.7991052515755	30.3394589927908	49.6630397064166	9.22254584610434	25.9615528969846	28.1243125155891	33.3258856460332
YAL010C	14.8021820758694	12.3213970808524	10.4611531582408	9.68619343972825	9.32148446587419	9.83399910516128	22.3497300030659	13.0302601591796	10.2326195381815	14.7593707335925	17.2136226987034	11.1401062248352	15.6174556460012	22.636955567489	17.7387861444779	10.9150246858955	15.1492575267646	12.0638962849595	12.8283532445812	17.3905139022864	10.3615888215328	7.97269991531896
YAL011W	12.2650029436956	5.59088313229414	11.3510196209826	12.1025840821738	11.4752536562001	22.9437212071522	22.7246056660566	26.2779226000354	10.7665900998119	17.8347308295398	25.7746043816581	15.2888247675193	25.7050061846688	19.6500345932485	20.7975325640963	14.929986907949	17.1245082706913	25.3868573579126	13.9537834230196	14.7037549082544	8.17671705724796	8.80817773392107
YAL012W	479.463288070679	492.334953281565	291.643266686864	495.659275016845	469.574381713908	136.355406414658	504.198592550177	488.882165972259	371.120272161996	355.327179724299	354.934731662547	358.602287863577	444.76480304031	542.146489529121	421.509485448278	350.367686921596	293.921509904842	352.670446522781	324.773703086864	427.215427418734	407.731330684864	295.803986900349
